X,Y,Z,Label
20.0,-13.0,1002.215,XS
20.0,-12.0,1002.172,XS
20.0,-11.0,1002.158,XS
20.0,-10.0,1002.144,XS
20.0,-9.0,1002.116,XS
20.0,-8.0,1002.088,XS
20.0,-7.0,1002.074,XS
20.0,-6.0,1002.06,XS
20.0,-5.0,1002.005,XS
20.0,-4.0,1001.989,XS
20.0,-3.0,1001.974,XS
20.0,-2.0,1001.944,XS
20.0,-1.0,1001.914,XS
21.0,0.0,1001.857,XS
21.0,1.0,1001.84,XS
21.0,2.0,1001.807,XS
21.0,3.0,1001.774,XS
21.0,4.0,1001.758,XS
21.0,5.0,1001.742,XS
21.0,6.0,1001.71,XS
21.0,7.0,1001.68,XS
21.0,8.0,1001.61,XS
21.0,9.0,1001.65,XS
21.0,10.0,1001.585,XS
21.0,11.0,1001.553,XS
21.0,12.0,1001.521,XS
21.0,13.0,1001.502,XS
21.0,14.0,1001.496,XS
21.0,15.0,1001.51,XS
21.0,16.0,1001.525,XS
21.0,17.0,1002.17,XS
21.0,-13.0,1002.2,XS
21.0,-12.0,1002.155,XS
21.0,-11.0,1002.14,XS
21.0,-10.0,1002.125,XS
21.0,-9.0,1002.095,XS
21.0,-8.0,1002.065,XS
21.0,-7.0,1002.05,XS
21.0,-6.0,1002.035,XS
21.0,-5.0,1001.973,XS
21.0,-4.0,1001.956,XS
21.0,-3.0,1001.94,XS
21.0,-2.0,1001.906,XS
21.0,-1.0,1001.873,XS
22.0,0.0,1001.807,XS
22.0,1.0,1001.788,XS
22.0,2.0,1001.752,XS
22.0,3.0,1001.715,XS
22.0,4.0,1001.646,XS
22.0,5.0,1001.679,XS
22.0,6.0,1001.644,XS
22.0,7.0,1001.627,XS
22.0,8.0,1001.61,XS
22.0,9.0,1001.577,XS
22.0,10.0,1001.547,XS
22.0,11.0,1001.488,XS
22.0,12.0,1001.428,XS
22.0,13.0,1001.406,XS
22.0,14.0,1001.4,XS
22.0,15.0,1001.29,XS
22.0,16.0,1001.432,XS
22.0,17.0,1002.155,XS
22.0,-13.0,1002.185,XS
22.0,-12.0,1002.137,XS
22.0,-11.0,1002.121,XS
22.0,-10.0,1002.105,XS
22.0,-9.0,1002.072,XS
22.0,-8.0,1002.039,XS
